region,id,channel,category,sales
2,316,2,DETERGENTS ,3891
2,317,1,FRESH ,7127
2,317,1,MILK ,1375
2,317,1,GROCERY ,2201
2,317,1,FROZEN ,2679
2,317,1,DELI ,1059
2,317,1,DETERGENTS ,83
2,318,1,FRESH ,1182
2,318,1,MILK ,3088
2,318,1,GROCERY ,6114
2,318,1,FROZEN ,978
2,318,1,DELI ,1637
2,318,1,DETERGENTS ,821
2,319,1,FRESH ,11800
2,319,1,MILK ,2713
2,319,1,GROCERY ,3558
2,319,1,FROZEN ,2121
2,319,1,DELI ,51
2,319,1,DETERGENTS ,706
2,320,2,FRESH ,9759
2,320,2,MILK ,25071
2,320,2,GROCERY ,17645
2,320,2,FROZEN ,1128
2,320,2,DELI ,1625
2,320,2,DETERGENTS ,12408
2,321,1,FRESH ,1774
2,321,1,MILK ,3696
2,321,1,GROCERY ,2280
2,321,1,FROZEN ,514
2,321,1,DELI ,834
2,321,1,DETERGENTS ,275
2,322,1,FRESH ,9155
2,322,1,MILK ,1897
2,322,1,GROCERY ,5167
2,322,1,FROZEN ,2714
2,322,1,DELI ,1113
2,322,1,DETERGENTS ,228
2,323,1,FRESH ,15881
2,323,1,MILK ,713
2,323,1,GROCERY ,3315
2,323,1,FROZEN ,3703
2,323,1,DELI ,229
2,323,1,DETERGENTS ,1470
2,324,1,FRESH ,13360
2,324,1,MILK ,944
2,324,1,GROCERY ,11593
2,324,1,FROZEN ,915
2,324,1,DELI ,573
2,324,1,DETERGENTS ,1679
2,325,1,FRESH ,25977
2,325,1,MILK ,3587
2,325,1,GROCERY ,2464
2,325,1,FROZEN ,2369
2,325,1,DELI ,1092
2,325,1,DETERGENTS ,140
2,326,1,FRESH ,32717
2,326,1,MILK ,16784
2,326,1,GROCERY ,13626
2,326,1,FROZEN ,60869
2,326,1,DELI ,5609
2,326,1,DETERGENTS ,1272
2,327,1,FRESH ,4414
2,327,1,MILK ,1610
2,327,1,GROCERY ,1431
2,327,1,FROZEN ,3498
2,327,1,DELI ,834
2,327,1,DETERGENTS ,387
2,328,1,FRESH ,542
2,328,1,MILK ,899
2,328,1,GROCERY ,1664
2,328,1,FROZEN ,414
2,328,1,DELI ,522
2,328,1,DETERGENTS ,88
2,329,1,FRESH ,16933
2,329,1,MILK ,2209
2,329,1,GROCERY ,3389
2,329,1,FROZEN ,7849
2,329,1,DELI ,1534
2,329,1,DETERGENTS ,210
2,330,1,FRESH ,5113
2,330,1,MILK ,1486
2,330,1,GROCERY ,4583
2,330,1,FROZEN ,5127
2,330,1,DELI ,739
2,330,1,DETERGENTS ,492
2,331,1,FRESH ,9790
2,331,1,MILK ,1786
2,331,1,GROCERY ,5109
2,331,1,FROZEN ,3570
2,331,1,DELI ,1043
2,331,1,DETERGENTS ,182
2,332,2,FRESH ,11223
2,332,2,MILK ,14881
2,332,2,GROCERY ,26839
2,332,2,FROZEN ,1234
2,332,2,DELI ,1102
2,332,2,DETERGENTS ,9606
2,333,1,FRESH ,22321
2,333,1,MILK ,3216
2,333,1,GROCERY ,1447
2,333,1,FROZEN ,2208
2,333,1,DELI ,2602
2,333,1,DETERGENTS ,178
2,334,2,FRESH ,8565
2,334,2,MILK ,4980
2,334,2,GROCERY ,67298
2,334,2,FROZEN ,131
2,334,2,DELI ,1215
2,334,2,DETERGENTS ,38102
2,335,2,FRESH ,16823
2,335,2,MILK ,928
2,335,2,GROCERY ,2743
2,335,2,FROZEN ,11559
2,335,2,DELI ,3486
2,335,2,DETERGENTS ,332
2,336,2,FRESH ,27082
2,336,2,MILK ,6817
2,336,2,GROCERY ,10790
2,336,2,FROZEN ,1365
2,336,2,DELI ,2139
2,336,2,DETERGENTS ,4111
2,337,1,FRESH ,13970
2,337,1,MILK ,1511
2,337,1,GROCERY ,1330
2,337,1,FROZEN ,650
2,337,1,DELI ,778
2,337,1,DETERGENTS ,146
2,338,1,FRESH ,9351
2,338,1,MILK ,1347
2,338,1,GROCERY ,2611
2,338,1,FROZEN ,8170
2,338,1,DELI ,868
2,338,1,DETERGENTS ,442
2,339,1,FRESH ,3
2,339,1,MILK ,333
2,339,1,GROCERY ,7021
2,339,1,FROZEN ,15601
2,339,1,DELI ,550
2,339,1,DETERGENTS ,15
2,340,1,FRESH ,2617
2,340,1,MILK ,1188
2,340,1,GROCERY ,5332
2,340,1,FROZEN ,9584
2,340,1,DELI ,1942
2,340,1,DETERGENTS ,573
